"Date","Confirmed","Recovered","Deaths"
2020-03-04,0,0,0
2020-03-05,1,0,0
2020-03-06,1,0,0
2020-03-07,1,0,0
2020-03-08,3,0,0
2020-03-09,3,0,0
2020-03-10,7,0,0
2020-03-11,13,0,0
2020-03-12,17,0,0
2020-03-13,24,0,0
2020-03-14,38,0,0
2020-03-15,51,0,0
2020-03-16,62,0,0
2020-03-17,62,0,0
2020-03-18,116,0,0
2020-03-19,150,0,0
2020-03-20,202,0,0
2020-03-21,240,0,0
2020-03-22,274,0,0
2020-03-23,402,0,0
2020-03-24,554,4,0
2020-03-25,709,12,0
2020-03-26,927,12,0
2020-03-27,1170,31,1
2020-03-28,1187,31,1
2020-03-29,1280,31,2
2020-03-30,1326,31,3
2020-03-31,1353,31,5
2020-04-01,1380,50,5
2020-04-02,1462,50,5
2020-04-03,1505,95,9
2020-04-04,1585,95,9
2020-04-05,1655,95,11
2020-04-06,1686,95,12
2020-04-07,1749,95,13
2020-04-08,1845,95,18
2020-04-09,1934,95,18
2020-04-10,2003,410,24
2020-04-11,2028,410,25
2020-04-12,2173,410,25
2020-04-13,2272,410,27
2020-04-14,2415,410,27
2020-04-15,2506,410,34
2020-04-16,2605,903,48
2020-04-17,2783,903,50
2020-04-18,3034,903,52
